持股人,公司,分数
79,7,-0.7467702
150,59,-1.8580519
94,72,2.2938097
158,44,-3.485102
15,75,-3.1821868
16,12,-3.5667858
23,88,-15.562325
115,65,-6.927646
119,34,-42.035454
74,31,-4.773299
70,90,0.058073297
74,59,-1.8580544
166,71,-7.9478555
130,1,-2.338548
0,42,-4.680981
126,60,-1.4212608
95,52,-29.678368
50,77,0.16348253
67,26,-3.1821873
83,0,-3.5880551
130,67,-3.1821868
159,66,-2.075219
8,42,-4.680983
8,70,-3.1821868
12,11,-4.4758606
103,79,-3.8743021
146,41,-3.2402933
38,25,-3.1821892
111,64,-1.6859733
25,19,-2.8794708
104,21,-3.1821828
66,89,-3.086324
124,72,2.2938097
125,9,-56.20644
83,38,-53.410892
80,6,-3.2746525
83,66,-2.075225
38,63,-1.7138782
35,31,-4.773301
39,0,-3.588053
20,43,-3.1821892
17,11,-4.4758606
46,76,-3.1821868
139,8,-2.8735867
104,59,-1.8580519
139,36,-4.231129
147,21,-3.1821868
4,52,-29.678368
4,80,-2.5611227
59,84,-3.1821914
92,7,-0.7467683
17,49,-8.561958
112,86,-12.006968
13,38,-53.41089
47,32,-25.207203
55,17,-4.5199003
116,60,-1.4212633
113,28,-3.8278713
76,5,-3.9930787
68,25,-3.1821938
71,85,-1.9399114
131,66,-2.075225
92,73,-2.8227296
13,10,-78.55549
135,35,-14.501803
164,6,-3.2746527
47,70,-3.1821868
29,50,-0.42816415
26,18,4.6265745
113,66,-2.0752208
48,12,-3.5667837
88,6,-3.2746506
84,65,-6.927646
9,37,-6.0924463
43,31,-4.773301
101,14,-15.187474
143,67,-3.1821887
109,27,-4.471131
56,39,-3.1821856
64,24,-3.182185
64,52,-29.678368
125,67,-3.1821873
160,5,-3.9930787
156,64,-1.685974
81,1,-2.3385503
140,73,-2.8227298
25,49,-8.56196
22,17,-4.5199003
35,89,-3.086324
36,26,-3.18219
136,62,5.022011
18,6,-3.2746525
44,11,-4.4758606
144,47,-3.8814714
101,85,-1.9399134
6,26,-3.1821854
117,59,-1.8580494
57,19,-2.8794708
72,84,-3.1821914
153,0,-3.588051
97,13,-5.241819
93,72,2.293812
136,34,-42.035454
31,50,-0.42816415
18,44,-3.4851086
15,12,-3.5667877
52,38,-53.410892
1,78,-2.4012764
118,34,-42.035458
52,71,-7.9478555
73,31,-4.773299
73,59,-1.8580563
77,0,-3.5880532
32,25,-3.1821895
129,1,-2.338546
90,8,-2.8735824
10,36,-4.2311277
132,61,-11.964684
105,73,-2.8227272
161,32,-25.207188
26,76,-3.1821847
23,44,-3.4851043
27,13,-5.241819
85,32,-25.207184
82,0,-3.5880532
85,60,-1.4212589
148,73,-2.8227296
106,20,-3.1821866
102,79,-3.874304
145,41,-3.240297
6,63,-1.7138762
37,25,-3.1821892
40,57,-3.1821868
106,53,-3.1821866
65,19,-2.879469
61,78,-2.4012828
128,60,-1.4212633
86,7,-0.7467683
153,90,0.058073297
157,31,-4.773299
157,59,-1.8580544
94,1,-2.338548
141,68,-3.3326108
19,43,-3.1821847
23,12,-3.5667858
33,52,-29.678368
111,20,-3.1821866
114,80,-2.5611265
122,65,-6.927643
66,45,-4.811959
77,90,0.058073096
33,24,-3.1821868
94,39,-3.1821895
91,7,-0.7467702
94,67,-3.1821868
133,60,-1.4212627
137,1,-2.338548
166,0,-3.588051
15,70,-3.1821868
46,32,-25.207188
49,64,-1.685974
74,26,-3.1821895
7,57,-3.1821868
163,6,-3.2746506
15,42,-4.680983
166,66,-2.0752208
129,87,-3.1821876
11,31,-4.7732973
7,90,0.058073297
103,8,-2.8735843
28,50,-0.4281664
123,87,-3.1821895
66,18,4.62657
87,6,-3.2746487
158,58,-1.5599952
82,86,-12.006966
45,63,-1.7138803
8,37,-6.0924463
42,31,-4.7732954
103,46,-5.0371103
24,11,-4.4758587
142,67,-3.1821887
38,20,-3.1821866
111,59,-1.8580538
146,8,-2.8735843
146,36,-4.231126
58,71,-7.9478517
66,84,-3.1821914
151,25,-3.1821914
154,85,-1.9399134
99,7,-0.7467681
95,66,-2.0752187
116,26,-3.1821918
16,69,-3.182185
20,38,-53.410892
54,32,-25.207188
112,15,-6.457616
71,51,-1.8036143
67,40,-6.6411695
130,53,-3.1821868
75,25,-3.1821914
138,66,-2.0752208
